x y k tid
-13610136.9 4551192.605 0 100
-13610162.51 4551294.041 1 100
-13610240.43 4551358.848 2 100
-13610372.9 4551423.655 3 100
-13610504.26 4551488.463 4 100
-13610633.39 4551557.498 5 100
-13610663.45 4551571.587 6 100
-13610766.97 4551620.898 7 100
-13610900.56 4551685.707 8 100
-13611030.8 4551750.516 9 100
-13611167.72 4551819.552 10 100
-13611100.93 4551957.627 11 100
-13611048.61 4552060.479 12 100
-13611005.2 4552146.426 13 100
-13610971.8 4552215.465 14 100
-13610929.5 4552298.594 15 100
-13610926.16 4552307.048 16 100
-13611026.35 4552356.362 17 100
-13611020.78 4552385.951 18 100
-13611007.42 4552457.81 19 100
-13611004.08 4552473.309 20 100
-13610987.39 4552553.622 21 100
-13610965.12 4552664.935 22 100
-13610946.2 4552769.203 23 100
-13611364.76 4552880.518 24 100
-13611354.74 4552919.972 25 100
-13611343.61 4552969.289 26 100
-13611339.15 4552987.607 27 100
-13611325.8 4553039.743 28 100
-13611318 4553079.197 29 100
-13611311.32 4553111.606 30 100
-13611309.1 4553122.879 31 100
-13611292.4 4553218.698 32 100
-13611537.3 4553268.016 33 100
-13611547.32 4553311.699 34 100
-13611565.13 4553383.564 35 100
-13611539.53 4553476.567 36 100
-13611519.49 4553578.025 37 100
-13611502.79 4553669.62 38 100
-13611499.45 4553683.712 39 100
-13611479.42 4553778.127 40 100
-13611525.06 4553787.991 41 100
-13611555.11 4553793.628 42 100
-13611677.57 4553817.584 43 100
-13611688.7 4553864.087 44 100
-13611712.07 4553957.094 45 100
-13611738.79 4554064.194 46 100
-13611747.7 4554098.015 47 100
-13611751.04 4554110.698 48 100
-13611759.94 4554147.338 49 100
-13611766.62 4554174.113 50 100
-13611774.41 4554206.526 51 100
-13611785.55 4554243.166 52 100
-13611804.47 4554322.084 53 100
-13611820.05 4554386.91 54 100
-13611824.51 4554402.411 55 100
-13611836.75 4554446.099 56 100
-13611855.68 4554520.79 57 100
-13611860.13 4554540.52 58 100
-13611862.36 4554550.385 59 100
-13611889.07 4554657.491 60 100
-13611915.79 4554770.236 61 100
-13611954.75 4554921.033 62 100
-13611956.98 4554933.717 63 100
-13611974.79 4555007.003 64 100
-13611979.24 4555022.506 65 100
-13612005.96 4555122.57 66 100
-13612030.45 4555209.951 67 100
-13612038.24 4555240.957 68 100
-13612049.37 4555287.466 69 100
-13612064.96 4555346.661 70 100
-13612123.96 4555586.26 71 100
-13612154.01 4555699.014 72 100
-13612172.94 4555770.896 73 100
-13612180.73 4555800.495 74 100
-13612196.31 4555862.511 75 100
-13612240.84 4556037.285 76 100
-13612253.09 4556085.208 77 100
-13612290.94 4556233.206 78 100
-13612315.43 4556333.281 79 100
-13612342.14 4556438.996 80 100
-13612345.48 4556453.092 81 100
-13612363.29 4556522.159 82 100
-13612387.78 4556612.371 83 100
-13612395.58 4556644.791 84 100
-13612411.16 4556703.993 85 100
-13612432.31 4556788.568 86 100
-13612450.12 4556857.638 87 100
-13612460.14 4556899.926 88 100
-13612477.95 4556970.406 89 100
-13612483.52 4556991.55 90 100
-13612520.25 4557133.922 91 100
-13612539.18 4557207.224 92 100
-13612556.99 4557279.116 93 100
-13612563.67 4557305.899 94 100
-13612588.16 4557405.985 95 100
-13612591.5 4557420.082 96 100
-13612618.22 4557518.759 97 100
-13612640.48 4557607.57 98 100
-13612650.5 4557647.042 99 100
-13612663.86 4557642.813 100 100
-13612756.25 4557608.98 101 100
-13612946.61 4557541.314 102 100
-13612976.66 4557662.548 103 100
-13613004.49 4557762.638 104 100
-13613020.08 4557819.027 105 100
-13613052.36 4557810.568 106 100
-13613075.74 4557893.743 107 100
-13613177.04 4557866.958 108 100
-13613200.42 4557861.319 109 100
